ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, location,text
1.21E+18,FlaMimi1,238,0,Det9651,0,237,0,,"@Det9651 @PeggyWi69224915 I was referring to Afghanistan,the reasons Biden pulled out so fast ,I know Hunter cant be impeached"
1.41E+18,DrunkButtertart,1,0,,0,57,0,,"US nearing a formal agreement to use Pakistan's airspace to carry out military operations in Afghanistan

BUT In a https://t.co/zrFQk9stH7"
579048214,ce_dennis,155,0,InfoMenso,0,258,0,"Indianapolis, IN","@InfoMenso @BillKristol Border crisis -1.7 million arrested
Inflation-Not entirely on Biden; poor management of pan https://t.co/lGlethPdCd"
13283002,HunterRay,717,421,,0,3051,9,Land of the Free ,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
1561872540,chynna67,99,3125,,0,1002,2,"Defiance, OH",RT @HawleyMO: NEWS: This email was shared w/ me by an American official present jn Afghanistan during the evacuation who was shocked by Adm
2166696408,pkboxing,133,0,JohnFugelsang,0,136,0,www.StrictlyBusinessBoxing.com,@JohnFugelsang WTF! How Much Did the 13 Courageous Patriots Killed During Taliban Joe Biden's Retreat From Afghanis https://t.co/ybiZt2lLtH
95530817,harrygato,721,0,TheDemocrats,0,2237,25,Texas,"@TheDemocrats @JoeBiden Biden has only been in office 10 months and so far:

- Border Crisis
- more COVID deaths th https://t.co/MwBP0eh4Lr"
502083228,debi_ray,1504,698,,0,2370,0,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
18653221,Commentary,38092,1,,0,538,1144,"New York, NY","Biden doesnt limit his baloney to foreign policy. Struggling to pass his domestic agenda, Biden arrived at a novel https://t.co/f8fjNfpr8L"
1.25E+18,ken_chidera,73,15,,0,67,0,,RT @jihadwatchRS: How the Biden Administration Fakes theOnly 100 Americans Left in Afghanistan https://t.co/ej1RxhGqlv https://t.co/TZnM
83476986,caunkle,62,53,,0,47,0,"Henderson, NV",RT @newsmax: U.S. intelligence agencies failed to predict what would occur amid President Joe Biden's removal of U.S. troops from Afghanist
486717806,ConservaivGenie,96,0,,0,512,0,Near Gotham,"Here is the breakdown of whats going on:

If you r a fellow satanist/socialist and are governing a nation like https://t.co/hoNobtrhS1"
283323982,BasketOfAwesome,2142,0,,0,1903,12,"Illinois, USA ",And Biden blamed for terror attack in Afghanistan killing military while Hillary blamed for 4 in Benghazi terrorist https://t.co/kFPkMu4Aed
1549792512,frattigiovanni,24322,698,,0,15404,165,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.45E+18,XG_YWW,10,4,,0,280,0,,"RT @michaelsobolik: This reporting from @ShaolinTom @Newsweek is crucially important.

https://t.co/OVlFL51M3S

The CCP is angling to get B"
2166696408,pkboxing,133,0,ProfGIGISCICCH,0,136,0,www.StrictlyBusinessBoxing.com,@ProfGIGISCICCH @Boxer751 WTF! How Much Did the 13 Courageous Patriots Killed During Taliban Joe Biden's Retreat Fr https://t.co/rpuQk6Ou5W
1.44E+18,JustPay4It,6,0,RCamposDuffy,20,66,0,,@RCamposDuffy Biden also says the generals told him to leave Afghanistan like he did.  Then they swore they didnt. https://t.co/qjPHPPx2hs
1.23E+18,TrumpZionists,324,294,,0,1281,1,,"RT @NikkiHaley: Instead of insulting our friends and ignoring our foes, the United States should prioritize relationships that strengthen o"
19550464,IAMMGraham,23458,1,,1,3990,441,"Boston, MA","Another poll showing @POTUS Biden underwater on every major issue:

% = Approve/Disapprove
Economy: 44%/51%
Inflati https://t.co/CJabnfeqi4"
835830866,carolynmondrago,171,64,,0,156,2,,"RT @govkristinoem: From COVID freedom to vaccine policy, from Afghanistan to the Biden border crisis, we covered it all with @BreitbartNews"
1.26E+18,mountain_R1,490,698,,0,77,1,,"RT @mikepompeo: ""@StateDept announces that since Thursday, it has been contacted by another 76 American citizens in Afghanistan, of whom 20"
1.40E+18,Phreequeshow2,9,421,,0,190,0,,RT @Cernovich: @Liz_Cheney @FoxNews @TuckerCarlson @rupertmurdoch @jayawallace @Suzannescott @SpeakerRyan You're more upset about a movie (
